Purchase Order ID,Status Description,Employee ID,Employee Name,Vendor ID,Vendor Name,Ship Method ID,Ship Method,Order Date,Ship Date,Sub Total,Tax Amt,Freight,Total Due
J-34286757,Complete,259,Ben Miller,1658,Crowley Sport,2,ZY - EXPRESS,2022-03-23 0:00,2022-03-31 0:00,46099.7965,3687.9837,5849.0029,55636.7831
B-41891688,Complete,254,Fukiko Ogisu,1684,Professional Athletic Consultants,4,OVERNIGHT J-FAST,2021-11-03 0:00,2021-11-08 0:00,21102.8813,1688.2305,1548.022,24339.1338
G-45398499,Complete,261,Reinout Hillmann,1578,"Vision Cycles, Inc.",1,XRQ - TRUCK GROUND,2021-07-13 0:00,2021-07-21 0:00,29358.4192,2348.6735,2165.3795,33872.4722
F-51553472,Complete,252,Arvind Rao,1684,Professional Athletic Consultants,1,XRQ - TRUCK GROUND,2023-05-16 0:00,2023-05-20 0:00,20147.404,1611.7923,1778.9557,23538.152
B-36101524,Complete,256,Frank Pellow,1654,American Bikes,2,ZY - EXPRESS,2022-10-17 0:00,2022-10-19 0:00,21429.9133,1714.3931,1965.389,25109.6954
L-91592662,Complete,256,Frank Pellow,1684,Professional Athletic Consultants,1,XRQ - TRUCK GROUND,2024-02-27 0:00,2024-03-04 0:00,43376.5842,3470.1267,3511.429,50358.1399
B-99568101,Complete,251,Mikael Sandberg,1684,Professional Athletic Consultants,5,CARGO TRANSPORT 5,2020-02-07 0:00,2020-02-28 0:00,39297.0444,3143.7636,4807.0255,47247.8335
G-54183846,Complete,254,Fukiko Ogisu,1684,Professional Athletic Consultants,4,OVERNIGHT J-FAST,2022-11-18 0:00,2022-11-24 0:00,19656.0039,1572.4803,1303.4058,22531.89
G-21979347,Complete,261,Reinout Hillmann,1684,Professional Athletic Consultants,4,OVERNIGHT J-FAST,2022-05-26 0:00,2022-05-29 0:00,41286.4573,3302.9166,2890.844,48429.8223
A-53811019,Complete,256,Frank Pellow,1570,First Rate Bicycles,5,CARGO TRANSPORT 5,2021-04-29 0:00,2021-05-08 0:00,29052.2925,2324.1834,4287.3165,35663.7924
N-64812594,Complete,260,Annette Hill,1610,Hybrid Bicycle Center,2,ZY - EXPRESS,2023-10-09 0:00,2023-10-14 0:00,24248.0501,1939.844,4121.783,30309.6771
G-10802910,Rejected,253,Linda Meisner,1588,Signature Cycles,5,CARGO TRANSPORT 5,2022-10-25 0:00,2022-11-02 0:00,42520.0545,3401.6044,9167.5333,55089.1922
G-87128238,Complete,261,Reinout Hillmann,1530,Comfort Road Bicycles,2,ZY - EXPRESS,2021-12-16 0:00,2021-12-20 0:00,28774.0819,2301.9266,5340.2274,36416.2359
G-42025984,Complete,258,Erin Hagens,1576,Superior Bicycles,1,XRQ - TRUCK GROUND,2021-06-03 0:00,2021-06-19 0:00,42567.2796,3405.3824,4729.3359,50701.9979
A-12205090,Complete,255,Gordon Hee,1680,Jackson Authority,2,ZY - EXPRESS,2025-05-12 0:00,2025-05-20 0:00,22574.5638,1805.9651,1935.8287,26316.3576
G-55766440,Complete,251,Mikael Sandberg,1576,Superior Bicycles,5,CARGO TRANSPORT 5,2024-11-28 0:00,2024-12-04 0:00,45840.3044,3667.2244,6265.9996,54658.0578
H-17638645,Complete,254,Fukiko Ogisu,1508,"Compete Enterprises, Inc",2,ZY - EXPRESS,2023-11-01 0:00,2023-11-05 0:00,40181.2391,3214.4991,3230.4381,46626.1763
J-94783592,Complete,261,Reinout Hillmann,1684,Professional Athletic Consultants,4,OVERNIGHT J-FAST,2022-04-08 0:00,2022-04-14 0:00,41286.4573,3302.9166,3054.0599,47643.4338
B-84924557,Complete,251,Mikael Sandberg,1576,Superior Bicycles,1,XRQ - TRUCK GROUND,2025-10-01 0:00,2025-10-08 0:00,46986.312,3758.905,3948.9761,54694.1931
J-71429555,Complete,253,Linda Meisner,1578,"Vision Cycles, Inc.",4,OVERNIGHT J-FAST,2023-08-07 0:00,2023-08-11 0:00,30844.6891,2467.5751,3194.0187,36505.891
D-20296592,Complete,257,Eric Kurjan,1638,Inline Accessories,2,ZY - EXPRESS,2022-10-20 0:00,2022-10-24 0:00,36398.0889,2911.8471,2304.9508,41614.8868
L-39953645,Complete,253,Linda Meisner,1576,Superior Bicycles,5,CARGO TRANSPORT 5,2025-07-04 0:00,2025-07-30 0:00,46986.312,3758.905,7719.0895,59633.5926
J-85315248,Complete,258,Erin Hagens,1684,Professional Athletic Consultants,3,OVERSEAS - DELUXE,2022-02-01 0:00,2022-02-12 0:00,41286.4573,3302.9166,6083.3481,50672.722
B-96531995,Complete,261,Reinout Hillmann,1684,Professional Athletic Consultants,1,XRQ - TRUCK GROUND,2024-05-11 0:00,2024-05-16 0:00,20651.0891,1652.0871,3138.4045,25441.5807
J-70386229,Complete,257,Eric Kurjan,1576,Superior Bicycles,4,OVERNIGHT J-FAST,2022-01-17 0:00,2022-01-21 0:00,43631.4616,3490.5169,3064.9083,50186.8868
G-74263069,Complete,252,Arvind Rao,1684,Professional Athletic Consultants,2,ZY - EXPRESS,2021-09-30 0:00,2021-10-06 0:00,40279.4705,3222.3576,4508.9072,48010.4647
J-31355606,Complete,258,Erin Hagens,1684,Professional Athletic Consultants,4,OVERNIGHT J-FAST,2024-05-22 0:00,2024-05-26 0:00,43376.5842,3470.1267,4783.0829,51629.7938
J-54111722,Complete,254,Fukiko Ogisu,1692,Carlson Specialties,2,ZY - EXPRESS,2021-07-17 0:00,2021-07-22 0:00,10197.0382,815.7631,1183.7129,12196.5142
B-56083488,Complete,260,Annette Hill,1628,Bicycle Specialists,2,ZY - EXPRESS,2023-02-28 0:00,2023-03-05 0:00,37308.0411,2984.6433,7304.9367,47597.6211
B-70278924,Complete,255,Gordon Hee,1632,Sport Fan Co.,4,OVERNIGHT J-FAST,2023-09-09 0:00,2023-09-14 0:00,66867.1542,5349.3723,5289.2534,77505.7799
G-45949744,Complete,261,Reinout Hillmann,1556,West Junction Cycles,4,OVERNIGHT J-FAST,2021-04-13 0:00,2021-04-23 0:00,26169.5569,2093.5646,1911.6231,30174.7446
G-42999852,Complete,260,Annette Hill,1578,"Vision Cycles, Inc.",5,CARGO TRANSPORT 5,2024-07-26 0:00,2024-08-04 0:00,31615.8064,2529.2645,3459.1638,37604.2347
J-84680714,Complete,254,Fukiko Ogisu,1578,"Vision Cycles, Inc.",5,CARGO TRANSPORT 5,2023-07-05 0:00,2023-07-11 0:00,13115.087,1049.207,1673.3471,15837.6411
J-17819927,Complete,256,Frank Pellow,1624,Competition Bike Training Systems,4,OVERNIGHT J-FAST,2023-11-28 0:00,2023-12-03 0:00,30473.3125,2437.865,2633.4287,35544.6062
J-52869520,Complete,254,Fukiko Ogisu,1556,West Junction Cycles,1,XRQ - TRUCK GROUND,2022-06-11 0:00,2022-06-19 0:00,26823.7958,2145.9037,2462.7048,31432.4043
G-31168327,Complete,259,Ben Miller,1632,Sport Fan Co.,4,OVERNIGHT J-FAST,2022-09-24 0:00,2022-09-27 0:00,65236.248,5218.8998,5787.0595,76242.2073
C-80300066,Complete,255,Gordon Hee,1576,Superior Bicycles,5,CARGO TRANSPORT 5,2023-03-03 0:00,2023-03-25 0:00,44722.2482,3577.7799,9743.0438,56882.2105
G-89274705,Complete,259,Ben Miller,1632,Sport Fan Co.,5,CARGO TRANSPORT 5,2022-12-30 0:00,2023-01-05 0:00,40366.1419,3229.2914,8091.1466,51686.5799
F-11360409,Complete,258,Erin Hagens,1576,Superior Bicycles,1,XRQ - TRUCK GROUND,2024-03-27 0:00,2024-04-02 0:00,45840.3044,3667.2244,7419.5727,56927.1015
K-19117890,Complete,251,Mikael Sandberg,1562,Norstan Bike Hut,1,XRQ - TRUCK GROUND,2023-09-04 0:00,2023-09-08 0:00,1057.995,84.6396,74.1649,1216.7995
J-67986337,Complete,252,Arvind Rao,1680,Jackson Authority,4,OVERNIGHT J-FAST,2022-09-16 0:00,2022-09-21 0:00,46099.7965,3687.9837,2685.1682,52472.9484
A-69746632,Complete,260,Annette Hill,1568,"Custom Frames, Inc.",4,OVERNIGHT J-FAST,2020-01-06 0:00,2020-01-12 0:00,29989.575,2399.166,2164.4616,34553.2026
G-19371727,Rejected,253,Linda Meisner,1684,Professional Athletic Consultants,5,CARGO TRANSPORT 5,2024-11-22 0:00,2024-11-28 0:00,43376.5842,3470.1267,3202.5234,50049.2343
J-96251244,Complete,254,Fukiko Ogisu,1578,"Vision Cycles, Inc.",5,CARGO TRANSPORT 5,2023-05-01 0:00,2023-05-08 0:00,30844.6891,2467.5751,14447.0753,47759.3395
G-24872395,Complete,259,Ben Miller,1692,Carlson Specialties,4,OVERNIGHT J-FAST,2022-02-20 0:00,2022-03-02 0:00,17223.1373,1377.851,2438.8192,21039.8075
G-41142031,Complete,261,Reinout Hillmann,1624,Competition Bike Training Systems,5,CARGO TRANSPORT 5,2023-03-16 0:00,2023-03-22 0:00,30473.3125,2437.865,5506.7777,38417.9552
J-70664189,Complete,258,Erin Hagens,1652,Victory Bikes,5,CARGO TRANSPORT 5,2020-08-31 0:00,2020-09-06 0:00,48186.6,3854.928,9499.9998,61541.1472
A-57539981,Complete,260,Annette Hill,1494,Allenson Cycles,5,CARGO TRANSPORT 5,2025-07-13 0:00,2025-07-22 0:00,10009.9079,800.7926,747.3307,11558.0312
G-76426217,Complete,255,Gordon Hee,1578,"Vision Cycles, Inc.",5,CARGO TRANSPORT 5,2025-12-15 0:00,2025-12-26 0:00,32406.2015,2592.4961,7129.8693,42128.5669
G-45342598,Complete,250,Sheela Word,1646,Electronic Bike Repair & Supplies,1,XRQ - TRUCK GROUND,2020-06-08 0:00,2020-06-10 0:00,19236.525,1538.922,2321.2783,23096.931
A-62219551,Complete,253,Linda Meisner,1632,Sport Fan Co.,1,XRQ - TRUCK GROUND,2022-05-10 0:00,2022-05-13 0:00,40366.1419,3229.2914,2858.7635,46454.1968
J-89785694,Complete,254,Fukiko Ogisu,1632,Sport Fan Co.,4,OVERNIGHT J-FAST,2024-07-23 0:00,2024-07-26 0:00,26129.1552,2090.3324,1825.1417,30044.6293
G-71861468,Complete,251,Mikael Sandberg,1684,Professional Athletic Consultants,1,XRQ - TRUCK GROUND,2022-01-18 0:00,2022-01-22 0:00,19656.0039,1572.4803,1671.3591,22899.8433
B-73420869,Complete,255,Gordon Hee,1696,Chicago City Saddles,5,CARGO TRANSPORT 5,2023-08-14 0:00,2023-08-22 0:00,42277.0568,3382.1645,7138.8504,52798.124
C-67101926,Complete,254,Fukiko Ogisu,1576,Superior Bicycles,4,OVERNIGHT J-FAST,2022-09-17 0:00,2022-09-21 0:00,43631.4616,3490.5169,4694.5242,51816.5027
J-96534267,Complete,251,Mikael Sandberg,1680,Jackson Authority,3,OVERSEAS - DELUXE,2024-10-17 0:00,2024-10-23 0:00,48433.5987,3874.6879,5897.2533,58205.5399
J-68788505,Complete,260,Annette Hill,1576,Superior Bicycles,1,XRQ - TRUCK GROUND,2025-10-22 0:00,2025-10-29 0:00,46986.312,3758.905,5985.3739,56730.5909
K-37643552,Complete,253,Linda Meisner,1508,"Compete Enterprises, Inc",3,OVERSEAS - DELUXE,2025-06-10 0:00,2025-06-20 0:00,42215.4144,3377.2332,7252.1093,52845.2254
G-87943974,Complete,252,Arvind Rao,1498,"Trikes, Inc.",4,OVERNIGHT J-FAST,2023-11-27 0:00,2023-12-01 0:00,28489.4376,2279.155,2728.7347,33497.2299
F-29825843,Complete,257,Eric Kurjan,1680,Jackson Authority,1,XRQ - TRUCK GROUND,2021-01-27 0:00,2021-02-01 0:00,44975.4112,3598.0329,5544.7605,54118.2046
J-62184868,Complete,252,Arvind Rao,1508,"Compete Enterprises, Inc",1,XRQ - TRUCK GROUND,2025-10-02 0:00,2025-10-05 0:00,42215.4144,3377.2332,4239.5445,49832.1921
B-80046891,Complete,250,Sheela Word,1542,Hill's Bicycle Service,5,CARGO TRANSPORT 5,2020-03-09 0:00,2020-04-03 0:00,28343.7,2267.496,3466.5409,34077.7369
G-87516615,Complete,254,Fukiko Ogisu,1632,Sport Fan Co.,5,CARGO TRANSPORT 5,2021-12-13 0:00,2021-12-20 0:00,63645.12,5091.6096,23506.9596,92243.6892
G-85806186,Complete,251,Mikael Sandberg,1682,"Premier Sport, Inc.",4,OVERNIGHT J-FAST,2021-11-10 0:00,2021-11-15 0:00,22097.0269,1767.7622,2986.3402,26851.1293
J-23460692,Complete,251,Mikael Sandberg,1498,"Trikes, Inc.",5,CARGO TRANSPORT 5,2024-03-18 0:00,2024-03-26 0:00,29201.6736,2336.1339,9125.4221,40663.2296
B-35687691,Rejected,257,Eric Kurjan,1576,Superior Bicycles,5,CARGO TRANSPORT 5,2023-02-13 0:00,2023-02-23 0:00,44722.2482,3577.7799,6627.6592,56026.241
C-93425001,Complete,250,Sheela Word,1632,Sport Fan Co.,4,OVERNIGHT J-FAST,2020-08-30 0:00,2020-09-03 0:00,38421.075,3073.686,4677.0872,46171.8482
G-92625364,Complete,255,Gordon Hee,1682,"Premier Sport, Inc.",5,CARGO TRANSPORT 5,2020-02-07 0:00,2020-02-14 0:00,21558.075,1724.646,1809.4998,25092.2208
G-34854174,Complete,255,Gordon Hee,1588,Signature Cycles,1,XRQ - TRUCK GROUND,2023-10-27 0:00,2023-11-04 0:00,43583.0559,3486.6445,3112.5683,50182.2687
J-77350548,Complete,259,Ben Miller,1576,Superior Bicycles,1,XRQ - TRUCK GROUND,2023-02-23 0:00,2023-03-01 0:00,44722.2482,3577.7799,4945.8931,53245.9212
G-40703683,Complete,254,Fukiko Ogisu,1570,First Rate Bicycles,5,CARGO TRANSPORT 5,2023-10-21 0:00,2023-10-29 0:00,24248.0501,1939.844,2914.5989,29102.493
G-91887686,Complete,254,Fukiko Ogisu,1684,Professional Athletic Consultants,5,CARGO TRANSPORT 5,2023-08-08 0:00,2023-08-16 0:00,22171.2147,1773.6972,3703.7262,27648.6381
J-76695201,Rejected,257,Eric Kurjan,1684,Professional Athletic Consultants,5,CARGO TRANSPORT 5,2025-06-14 0:00,2025-06-23 0:00,21167.3663,1693.3893,9024.0858,31884.8414
A-14164145,Complete,253,Linda Meisner,1588,Signature Cycles,5,CARGO TRANSPORT 5,2025-08-09 0:00,2025-08-17 0:00,45789.4481,3663.1558,10318.9799,59771.5838
J-69767836,Complete,251,Mikael Sandberg,1576,Superior Bicycles,5,CARGO TRANSPORT 5,2021-04-11 0:00,2021-04-18 0:00,42567.2796,3405.3824,3077.5954,50031.2625
J-40490116,Complete,254,Fukiko Ogisu,1586,Mitchell Sports,1,XRQ - TRUCK GROUND,2025-09-23 0:00,2025-09-27 0:00,49644.4387,3971.5551,5428.824,59044.8178
C-43570757,Complete,250,Sheela Word,1680,Jackson Authority,5,CARGO TRANSPORT 5,2024-11-11 0:00,2024-11-23 0:00,48433.5987,3874.6879,7664.1517,59972.4383
G-32294481,Complete,251,Mikael Sandberg,1578,"Vision Cycles, Inc.",5,CARGO TRANSPORT 5,2023-12-29 0:00,2024-01-05 0:00,17729.6021,1418.3682,1872.7123,21020.6826
G-24139920,Complete,252,Arvind Rao,1576,Superior Bicycles,5,CARGO TRANSPORT 5,2024-02-18 0:00,2024-02-26 0:00,45840.3044,3667.2244,10748.8798,61461.5368
J-83407955,Complete,258,Erin Hagens,1578,"Vision Cycles, Inc.",4,OVERNIGHT J-FAST,2023-06-30 0:00,2023-07-04 0:00,30844.6891,2467.5751,2485.1134,35797.3776
D-20112684,Complete,260,Annette Hill,1616,Aurora Bike Center,2,ZY - EXPRESS,2025-08-07 0:00,2025-08-13 0:00,315.1232,25.2099,49.915,390.2481
E-91655311,Complete,259,Ben Miller,1568,"Custom Frames, Inc.",4,OVERNIGHT J-FAST,2021-07-29 0:00,2021-08-02 0:00,26885.8012,2150.8641,1656.2554,30692.9207
G-79088311,Complete,258,Erin Hagens,1498,"Trikes, Inc.",4,OVERNIGHT J-FAST,2023-10-17 0:00,2023-10-19 0:00,28489.4376,2279.155,1504.9206,32273.5132
G-79443581,Complete,261,Reinout Hillmann,1526,International Bicycles,5,CARGO TRANSPORT 5,2024-12-27 0:00,2025-01-03 0:00,31126.7784,2490.1423,7219.6038,40836.5245
B-42280328,Complete,259,Ben Miller,1586,Mitchell Sports,5,CARGO TRANSPORT 5,2020-11-29 0:00,2020-12-06 0:00,43878.45,3510.276,4524.159,51912.885
A-62183183,Complete,250,Sheela Word,1576,Superior Bicycles,5,CARGO TRANSPORT 5,2023-11-17 0:00,2023-11-28 0:00,44722.2482,3577.7799,6668.2812,56067.6755
G-51859060,Rejected,257,Eric Kurjan,1588,Signature Cycles,4,OVERNIGHT J-FAST,2022-08-19 0:00,2022-08-23 0:00,42520.0545,3401.6044,4048.1801,49969.839
D-25838907,Complete,261,Reinout Hillmann,1578,"Vision Cycles, Inc.",4,OVERNIGHT J-FAST,2024-10-02 0:00,2024-10-07 0:00,31615.8064,2529.2645,3107.1532,37252.2241
H-58244207,Complete,258,Erin Hagens,1508,"Compete Enterprises, Inc",1,XRQ - TRUCK GROUND,2020-07-01 0:00,2020-07-05 0:00,37312.275,2984.982,3548.3596,43845.488
G-59462081,Complete,251,Mikael Sandberg,1578,"Vision Cycles, Inc.",4,OVERNIGHT J-FAST,2023-11-01 0:00,2023-11-05 0:00,13115.087,1049.207,1035.4948,15199.7888
B-28642257,Complete,261,Reinout Hillmann,1576,Superior Bicycles,2,ZY - EXPRESS,2025-04-04 0:00,2025-04-09 0:00,46986.312,3758.905,3808.1547,54553.3717
G-67718234,Complete,259,Ben Miller,1578,"Vision Cycles, Inc.",5,CARGO TRANSPORT 5,2023-12-11 0:00,2023-12-17 0:00,30844.6891,2467.5751,5017.8749,38330.1391
C-90726908,Complete,261,Reinout Hillmann,1576,Superior Bicycles,5,CARGO TRANSPORT 5,2022-02-07 0:00,2022-02-17 0:00,43631.4616,3490.5169,4212.1647,52360.8261
G-68309795,Complete,254,Fukiko Ogisu,1508,"Compete Enterprises, Inc",4,OVERNIGHT J-FAST,2024-02-09 0:00,2024-02-11 0:00,2116.3405,169.3072,151.5672,2437.2149
J-76059920,Rejected,256,Frank Pellow,1578,"Vision Cycles, Inc.",1,XRQ - TRUCK GROUND,2022-03-22 0:00,2022-03-24 0:00,17297.1728,1383.7738,1773.2052,20454.1518
G-25849980,Complete,253,Linda Meisner,1610,Hybrid Bicycle Center,4,OVERNIGHT J-FAST,2024-03-11 0:00,2024-03-15 0:00,24854.2513,1988.3401,2491.2827,29333.8741
J-36852289,Complete,260,Annette Hill,1576,Superior Bicycles,1,XRQ - TRUCK GROUND,2020-11-16 0:00,2020-11-21 0:00,41529.0533,3322.3243,3437.3907,48288.7683
G-44223733,Rejected,253,Linda Meisner,1684,Professional Athletic Consultants,5,CARGO TRANSPORT 5,2021-11-07 0:00,2021-11-16 0:00,30478.0428,2438.2434,14215.7499,47132.0361
A-37256097,Complete,253,Linda Meisner,1576,Superior Bicycles,5,CARGO TRANSPORT 5,2020-04-02 0:00,2020-04-09 0:00,41529.0533,3322.3243,5766.2262,51629.9559
A-70616675,Complete,261,Reinout Hillmann,1576,Superior Bicycles,4,OVERNIGHT J-FAST,2020-08-09 0:00,2020-08-11 0:00,41529.0533,3322.3243,3690.5711,48541.9487
J-56435391,Complete,253,Linda Meisner,1576,Superior Bicycles,2,ZY - EXPRESS,2023-07-19 0:00,2023-07-24 0:00,44722.2482,3577.7799,11096.0107,60583.9596
B-58361951,Complete,261,Reinout Hillmann,1576,Superior Bicycles,4,OVERNIGHT J-FAST,2021-07-26 0:00,2021-07-31 0:00,42567.2796,3405.3824,2547.3107,48519.5068
J-74072294,Complete,261,Reinout Hillmann,1576,Superior Bicycles,1,XRQ - TRUCK GROUND,2023-04-23 0:00,2023-04-29 0:00,44722.2482,3577.7799,3417.8125,51717.8406
J-56878663,Complete,261,Reinout Hillmann,1632,Sport Fan Co.,3,OVERSEAS - DELUXE,2024-02-18 0:00,2024-02-29 0:00,68538.8331,5483.1066,11513.3979,85535.3376
G-66516788,Complete,251,Mikael Sandberg,1578,"Vision Cycles, Inc.",4,OVERNIGHT J-FAST,2025-05-26 0:00,2025-05-29 0:00,32406.2015,2592.4961,3749.7975,38748.7888
J-72630214,Complete,256,Frank Pellow,1696,Chicago City Saddles,4,OVERNIGHT J-FAST,2022-05-02 0:00,2022-05-12 0:00,29778.5998,2382.288,1177.3165,33338.2043
G-45705389,Complete,259,Ben Miller,1576,Superior Bicycles,5,CARGO TRANSPORT 5,2022-01-31 0:00,2022-02-09 0:00,43631.4616,3490.5169,4569.3048,50657.4576
B-32837572,Complete,253,Linda Meisner,1576,Superior Bicycles,2,ZY - EXPRESS,2022-01-17 0:00,2022-01-22 0:00,43631.4616,3490.5169,3228.4086,51357.3948
A-36975399,Complete,251,Mikael Sandberg,1586,Mitchell Sports,4,OVERNIGHT J-FAST,2020-10-24 0:00,2020-10-29 0:00,43878.45,3510.276,2481.5549,49870.2809
G-88900731,Complete,255,Gordon Hee,1684,Professional Athletic Consultants,5,CARGO TRANSPORT 5,2024-02-27 0:00,2024-03-06 0:00,20651.0891,1652.0871,8643.1276,30946.3038
J-69742237,Complete,259,Ben Miller,1542,Hill's Bicycle Service,5,CARGO TRANSPORT 5,2025-01-08 0:00,2025-01-31 0:00,32068.295,2565.4636,5428.0139,40061.7725
J-35241390,Complete,255,Gordon Hee,1684,Professional Athletic Consultants,5,CARGO TRANSPORT 5,2023-01-06 0:00,2023-02-01 0:00,42318.6187,3385.4895,7715.5277,53419.6359
G-57587222,Complete,251,Mikael Sandberg,1646,Electronic Bike Repair & Supplies,5,CARGO TRANSPORT 5,2023-07-27 0:00,2023-08-04 0:00,51723.7836,4137.9027,3886.7136,59748.3999
B-40556542,Complete,258,Erin Hagens,1506,Greenwood Athletic Company,4,OVERNIGHT J-FAST,2025-10-22 0:00,2025-10-27 0:00,49644.4387,3971.5551,4771.2217,58387.2155
J-60563585,Complete,252,Arvind Rao,1638,Inline Accessories,5,CARGO TRANSPORT 5,2024-05-18 0:00,2024-05-23 0:00,38240.7421,3059.2594,3111.8646,44411.8661
A-80483202,Complete,253,Linda Meisner,1632,Sport Fan Co.,5,CARGO TRANSPORT 5,2024-08-22 0:00,2024-08-31 0:00,26129.1552,2090.3324,1930.6979,30150.1855
G-34080105,Complete,260,Annette Hill,1684,Professional Athletic Consultants,5,CARGO TRANSPORT 5,2025-06-12 0:00,2025-06-20 0:00,21167.3663,1693.3893,4551.2812,27412.0368
G-90410408,Complete,253,Linda Meisner,1576,Superior Bicycles,5,CARGO TRANSPORT 5,2021-06-18 0:00,2021-06-24 0:00,42567.2796,3405.3824,9483.3472,56565.1294
J-79968864,Complete,254,Fukiko Ogisu,1576,Superior Bicycles,4,OVERNIGHT J-FAST,2024-01-26 0:00,2024-02-01 0:00,45840.3044,3667.2244,4144.764,53652.2928
G-69743221,Complete,254,Fukiko Ogisu,1578,"Vision Cycles, Inc.",3,OVERSEAS - DELUXE,2024-06-27 0:00,2024-07-08 0:00,18172.8422,1453.8274,2487.4069,22114.0765
J-53547930,Complete,256,Frank Pellow,1624,Competition Bike Training Systems,2,ZY - EXPRESS,2025-03-03 0:00,2025-03-07 0:00,32016.0239,2561.2819,2788.2156,37365.5214
B-12983142,Complete,254,Fukiko Ogisu,1684,Professional Athletic Consultants,4,OVERNIGHT J-FAST,2022-04-05 0:00,2022-04-09 0:00,21630.4533,1730.4363,2610.9111,25971.8007
G-77622620,Complete,259,Ben Miller,1542,Hill's Bicycle Service,5,CARGO TRANSPORT 5,2024-04-25 0:00,2024-05-05 0:00,31286.1414,2502.8913,5091.4809,38880.5136
B-56062544,Complete,258,Erin Hagens,1684,Professional Athletic Consultants,2,ZY - EXPRESS,2023-10-27 0:00,2023-11-03 0:00,32020.9936,2561.6795,2707.1533,37289.8264
G-16782397,Complete,256,Frank Pellow,1494,Allenson Cycles,5,CARGO TRANSPORT 5,2022-09-02 0:00,2022-09-08 0:00,9295.1946,743.6156,980.89,11019.7002
G-52509672,Complete,256,Frank Pellow,1624,Competition Bike Training Systems,5,CARGO TRANSPORT 5,2020-09-18 0:00,2020-09-26 0:00,28297.5,2263.8,3689.0382,34250.3382
G-35643313,Complete,260,Annette Hill,1576,Superior Bicycles,2,ZY - EXPRESS,2022-04-27 0:00,2022-05-02 0:00,43631.4616,3490.5169,3581.7861,50703.7646
