Purchase_Order_ID,Status_Description,Employee_Name,Vendor_Name,Vendor_ID,Shipment_Method,Order_Date,Ship_Date,Subtotal,Tax_Amount,Freight,Total_Due,SKU_Category,SKU
PO10271,Complete,Michael Brown,Vendor 12,V012,Express,2025-05-31,2025-06-04,1667.62,83.38,80.41,1831.41,Maintenance,MT025
PO10965,Complete,Kelly Moore,Vendor 31,V031,Air,2025-07-23,2025-07-24,743.37,37.17,49.53,830.07,Office Supplies,OS001
PO10353,Complete,Kelly Andrews,Vendor 20,V020,Overnight,2025-10-08,2025-10-13,3126.61,156.33,57.13,3340.07,Miscellaneous,MS047
PO10101,Complete,Natalie Richardson,Vendor 45,V045,Express,2025-12-07,2025-12-09,1723.68,86.18,57.52,1867.38,Furniture,FC013
PO10737,Complete,Jacob Patterson,Vendor 20,V020,Air,2025-04-26,2025-04-28,523.17,26.16,11.99,561.32,Maintenance,MT042
PO10255,Complete,Robert Moss,Vendor 6,V006,Air,2025-06-23,2025-06-30,4725.5,236.28,59.18,5020.96,Electronics,EL029
PO11423,Complete,Tommy Duarte,Vendor 34,V034,Ground,2025-08-30,2025-09-03,1569.09,78.45,66.22,1713.76,Miscellaneous,MS018
PO10586,Complete,Patrick Chaney Jr.,Vendor 15,V015,Express,2025-07-25,2025-07-29,1409.71,70.49,38.87,1519.07,Maintenance,MT024
PO10553,Complete,Rachel Moore,Vendor 14,V014,Express,2025-01-07,2025-01-13,4825.62,241.28,20.98,5087.88,Maintenance,MT014
PO10744,Complete,Erica Nelson,Vendor 4,V004,Air,2025-04-03,2025-04-06,4947.05,247.35,24.91,5219.31,Miscellaneous,MS022
PO10057,Complete,Rachel Moore,Vendor 35,V035,Express,2025-06-02,2025-06-08,4869.95,243.5,15.13,5128.58,Furniture,FC022
PO10394,Rejected,Jacob Patterson,Vendor 4,V004,Overnight,2025-03-08,2025-03-09,478.6,23.93,97.14,599.67,Maintenance,MT042
PO11365,Complete,Rachel Moore,Vendor 10,V010,Air,2025-10-18,2025-10-25,379.19,18.96,16.36,414.51,Maintenance,MT002
PO10297,Rejected,Randy Hernandez,Vendor 10,V010,Overnight,2025-07-02,2025-07-04,4296.38,214.82,45.88,4557.08,Furniture,FC024
PO11002,Rejected,Brooke Jackson,Vendor 16,V016,Ground,2025-12-07,2025-12-11,940.54,47.03,91.93,1079.5,Miscellaneous,MS037
PO11024,Complete,Tommy Duarte,Vendor 32,V032,Express,2025-11-04,2025-11-10,1469.23,73.46,71.96,1614.65,Electronics,EL032
PO11713,Complete,Robert Moss,Vendor 38,V038,Express,2025-09-02,2025-09-07,908.65,45.43,5.29,959.37,Electronics,EL002
PO10681,Complete,Robert Moss,Vendor 25,V025,Air,2025-03-02,2025-03-06,1521.54,76.08,55.2,1652.82,Miscellaneous,MS038
PO11564,Rejected,Michael Brown,Vendor 38,V038,Air,2025-03-26,2025-04-01,3661.78,183.09,75.0,3919.87,Electronics,EL004
PO11524,Complete,Patrick Chaney Jr.,Vendor 22,V022,Express,2025-08-14,2025-08-20,3775.1,188.75,90.04,4053.89,Electronics,EL043
PO11898,Complete,Kevin Meyer,Vendor 26,V026,Express,2025-11-26,2025-11-29,3444.63,172.23,32.52,3649.38,Furniture,FC020
PO10614,Complete,Dorothy Hines,Vendor 25,V025,Express,2025-10-06,2025-10-10,4738.75,236.94,84.58,5060.27,Maintenance,MT002
PO10535,Complete,Tommy Duarte,Vendor 43,V043,Overnight,2025-05-13,2025-05-17,238.54,11.93,31.4,281.87,Miscellaneous,MS016
PO10308,Complete,Erica Nelson,Vendor 49,V049,Ground,2025-07-05,2025-07-10,2509.36,125.47,67.61,2702.44,Maintenance,MT014
PO10969,Complete,Laura Morgan,Vendor 43,V043,Express,2025-01-07,2025-01-10,3807.56,190.38,19.85,4017.79,Miscellaneous,MS030
PO11469,Rejected,Michael Brown,Vendor 8,V008,Express,2025-02-02,2025-02-04,4394.12,219.71,34.68,4648.51,Office Supplies,OS008
PO11936,Complete,Robert Moss,Vendor 35,V035,Ground,2025-08-20,2025-08-26,4448.33,222.42,63.58,4734.33,Office Supplies,OS022
PO10549,Complete,Randy Hernandez,Vendor 20,V020,Overnight,2025-02-19,2025-02-25,1330.8,66.54,27.27,1424.61,Furniture,FC006
PO11126,Complete,Tommy Duarte,Vendor 49,V049,Air,2025-01-19,2025-01-19,2095.64,104.78,56.63,2257.05,Electronics,EL010
PO10412,Complete,Robert Brown,Vendor 20,V020,Air,2025-02-09,2025-02-15,3754.3,187.72,68.21,4010.23,Electronics,EL039
PO11407,Rejected,Brandi Smith,Vendor 39,V039,Express,2025-07-17,2025-07-24,3373.38,168.67,31.0,3573.05,Electronics,EL025
PO11419,Complete,Randy Hernandez,Vendor 18,V018,Overnight,2025-03-04,2025-03-06,4958.85,247.94,43.94,5250.73,Furniture,FC004
PO11250,Complete,Robert Brown,Vendor 11,V011,Ground,2025-01-31,2025-02-07,4184.57,209.23,8.17,4401.97,Furniture,FC048
PO11952,Complete,Rachel Moore,Vendor 23,V023,Express,2025-08-28,2025-08-29,1039.04,51.95,23.68,1114.67,Furniture,FC013
PO10257,Complete,Robert Moss,Vendor 14,V014,Overnight,2025-02-18,2025-02-19,1771.45,88.57,92.87,1952.89,Miscellaneous,MS005
PO11086,Rejected,Randy Hernandez,Vendor 22,V022,Air,2025-12-15,2025-12-21,2977.13,148.86,64.32,3190.31,Electronics,EL025
PO10731,Complete,Kimberly Richardson,Vendor 3,V003,Express,2025-12-25,2026-01-01,2263.09,113.15,92.83,2469.07,Electronics,EL011
PO11495,Rejected,Randy Hernandez,Vendor 16,V016,Air,2025-01-02,2025-01-06,2993.93,149.7,64.09,3207.72,Miscellaneous,MS047
PO11857,Complete,Robert Brown,Vendor 50,V050,Ground,2025-01-19,2025-01-22,1687.52,84.38,47.27,1819.17,Maintenance,MT019
PO10345,Complete,Kevin Meyer,Vendor 48,V048,Express,2025-07-23,2025-07-25,2305.15,115.26,61.62,2482.03,Maintenance,MT015
PO10664,Complete,Michael Brown,Vendor 21,V021,Overnight,2025-05-17,2025-05-21,2769.65,138.48,11.01,2919.14,Office Supplies,OS008
PO11424,Complete,Rachel Moore,Vendor 46,V046,Ground,2025-09-05,2025-09-10,3155.39,157.77,36.2,3349.36,Electronics,EL019
PO11890,Complete,Laura Morgan,Vendor 1,V001,Overnight,2025-06-15,2025-06-20,4529.64,226.48,81.02,4837.14,Office Supplies,OS003
PO11186,Complete,Brandi Smith,Vendor 47,V047,Overnight,2025-12-19,2025-12-21,4485.55,224.28,67.45,4777.28,Maintenance,MT049
PO11478,Complete,Randy Hernandez,Vendor 31,V031,Overnight,2025-05-25,2025-05-30,3496.13,174.81,16.4,3687.34,Miscellaneous,MS020
PO11994,Complete,Patrick Chaney Jr.,Vendor 16,V016,Air,2025-12-23,2025-12-25,2690.99,134.55,48.95,2874.49,Furniture,FC007
PO11780,Complete,Douglas Garcia,Vendor 14,V014,Express,2025-01-07,2025-01-08,4455.67,222.78,50.16,4728.61,Maintenance,MT009
PO10300,Complete,Kelly Moore,Vendor 21,V021,Overnight,2025-12-19,2025-12-22,2865.98,143.3,19.0,3028.28,Maintenance,MT001
PO11119,Complete,Kimberly Richardson,Vendor 50,V050,Ground,2025-06-04,2025-06-11,4347.82,217.39,12.85,4578.06,Miscellaneous,MS028
PO11926,Complete,Laura Morgan,Vendor 10,V010,Air,2025-12-18,2025-12-21,1244.64,62.23,89.49,1396.36,Electronics,EL039
PO11300,Rejected,Brooke Jackson,Vendor 44,V044,Air,2025-03-18,2025-03-22,1451.05,72.55,82.63,1606.23,Miscellaneous,MS035
PO10070,Complete,Angie Boyd,Vendor 1,V001,Ground,2025-09-04,2025-09-07,3680.17,184.01,7.72,3871.9,Electronics,EL014
PO11568,Complete,Dorothy Hines,Vendor 43,V043,Express,2025-06-26,2025-06-30,2981.97,149.1,37.49,3168.56,Miscellaneous,MS017
PO10573,Complete,Laura Morgan,Vendor 17,V017,Express,2025-11-28,2025-11-30,4317.85,215.89,60.3,4594.04,Office Supplies,OS043
PO11884,Complete,Patrick Chaney Jr.,Vendor 40,V040,Overnight,2025-02-12,2025-02-15,1280.07,64.0,70.12,1414.19,Electronics,EL014
PO11152,Complete,Natalie Richardson,Vendor 36,V036,Air,2025-09-13,2025-09-14,1977.84,98.89,37.86,2114.59,Miscellaneous,MS003
PO11477,Complete,Kelly Andrews,Vendor 6,V006,Express,2025-11-21,2025-11-28,1512.38,75.62,91.24,1679.24,Maintenance,MT020
PO10880,Complete,Natalie Richardson,Vendor 21,V021,Express,2025-05-18,2025-05-24,1645.97,82.3,64.89,1793.16,Office Supplies,OS008
PO11768,Complete,Kimberly Richardson,Vendor 1,V001,Express,2025-07-06,2025-07-12,1011.97,50.6,40.48,1103.05,Maintenance,MT022
PO10819,Complete,Kelly Moore,Vendor 2,V002,Air,2025-02-15,2025-02-22,2060.19,103.01,89.3,2252.5,Miscellaneous,MS049
PO10481,Complete,Jacob Patterson,Vendor 40,V040,Express,2025-06-24,2025-06-30,3797.82,189.89,87.6,4075.31,Maintenance,MT014
PO10100,Complete,Brandi Smith,Vendor 40,V040,Overnight,2025-06-17,2025-06-21,1874.85,93.74,63.34,2031.93,Office Supplies,OS035
PO10608,Complete,Randy Hernandez,Vendor 23,V023,Ground,2025-09-22,2025-09-29,2598.28,129.91,94.49,2822.68,Office Supplies,OS007
PO10742,Complete,Tommy Duarte,Vendor 24,V024,Express,2025-10-12,2025-10-14,1533.28,76.66,56.18,1666.12,Furniture,FC034
PO11631,Complete,Kevin Meyer,Vendor 32,V032,Ground,2025-08-14,2025-08-21,1488.52,74.43,24.4,1587.35,Miscellaneous,MS038
PO11665,Complete,Douglas Garcia,Vendor 37,V037,Overnight,2025-04-13,2025-04-18,4429.25,221.46,16.76,4667.47,Miscellaneous,MS008
PO10562,Complete,Kelly Moore,Vendor 20,V020,Overnight,2025-04-11,2025-04-18,413.25,20.66,55.63,489.54,Electronics,EL038
PO10112,Complete,Kelly Moore,Vendor 45,V045,Overnight,2025-02-18,2025-02-20,3240.46,162.02,97.24,3499.72,Miscellaneous,MS043
PO11023,Complete,Kimberly Richardson,Vendor 32,V032,Express,2025-12-27,2025-12-29,3013.34,150.67,37.91,3201.92,Electronics,EL011
PO10240,Complete,Tommy Duarte,Vendor 20,V020,Air,2025-03-01,2025-03-07,3244.55,162.23,66.78,3473.56,Office Supplies,OS019
PO11212,Rejected,Dorothy Hines,Vendor 22,V022,Overnight,2025-09-28,2025-10-01,1268.07,63.4,33.94,1365.41,Maintenance,MT038
PO10129,Complete,Robert Moss,Vendor 33,V033,Ground,2025-05-12,2025-05-14,1657.67,82.88,70.96,1811.51,Furniture,FC023
PO11972,Complete,Brooke Jackson,Vendor 46,V046,Air,2025-05-21,2025-05-25,1468.47,73.42,41.75,1583.64,Miscellaneous,MS034
PO11950,Complete,Kelly Moore,Vendor 47,V047,Overnight,2025-07-31,2025-08-06,2531.81,126.59,86.33,2744.73,Office Supplies,OS021
PO10508,Complete,Robert Brown,Vendor 24,V024,Air,2025-01-07,2025-01-13,1252.6,62.63,21.4,1336.63,Office Supplies,OS020
PO11905,Complete,Douglas Garcia,Vendor 49,V049,Express,2025-07-31,2025-08-06,855.13,42.76,7.07,904.96,Electronics,EL005
PO11259,Complete,Angie Boyd,Vendor 43,V043,Express,2025-09-03,2025-09-04,3942.41,197.12,33.34,4172.87,Furniture,FC046
PO11960,Complete,Tommy Duarte,Vendor 19,V019,Express,2025-01-28,2025-01-29,2698.35,134.92,81.81,2915.08,Miscellaneous,MS022
PO10707,Complete,Kelly Andrews,Vendor 22,V022,Express,2025-07-20,2025-07-22,197.11,9.86,17.24,224.21,Office Supplies,OS034
PO11826,Complete,Erica Nelson,Vendor 29,V029,Overnight,2025-11-26,2025-11-29,3019.78,150.99,58.98,3229.75,Maintenance,MT027
PO11672,Complete,Rachel Moore,Vendor 40,V040,Air,2025-05-06,2025-05-11,345.35,17.27,52.91,415.53,Maintenance,MT001
PO10520,Complete,Natalie Richardson,Vendor 12,V012,Overnight,2025-09-21,2025-09-28,2507.73,125.39,9.75,2642.87,Miscellaneous,MS031
PO10987,Complete,Angie Boyd,Vendor 18,V018,Ground,2025-06-10,2025-06-17,3962.47,198.12,83.83,4244.42,Furniture,FC009
PO10941,Complete,Erica Nelson,Vendor 31,V031,Ground,2025-04-07,2025-04-12,448.49,22.42,15.33,486.24,Electronics,EL005
PO11827,Complete,Kelly Moore,Vendor 22,V022,Express,2025-11-02,2025-11-03,4167.56,208.38,36.43,4412.37,Office Supplies,OS005
PO10904,Complete,Brooke Jackson,Vendor 1,V001,Air,2025-04-14,2025-04-18,3561.51,178.08,81.52,3821.11,Furniture,FC043
PO11108,Complete,Laura Morgan,Vendor 25,V025,Express,2025-06-16,2025-06-17,4561.05,228.05,86.66,4875.76,Miscellaneous,MS017
PO11064,Complete,Brooke Jackson,Vendor 31,V031,Ground,2025-05-07,2025-05-13,2625.97,131.3,88.57,2845.84,Miscellaneous,MS031
PO10736,Complete,Kevin Meyer,Vendor 10,V010,Express,2025-12-10,2025-12-14,41.57,2.08,88.45,132.1,Electronics,EL045
PO10367,Complete,Kevin Meyer,Vendor 3,V003,Ground,2025-10-04,2025-10-04,4842.85,242.14,78.86,5163.85,Miscellaneous,MS045
PO11422,Complete,Kelly Moore,Vendor 50,V050,Ground,2025-09-04,2025-09-11,2605.3,130.27,59.7,2795.27,Maintenance,MT029
PO10675,Complete,Natalie Richardson,Vendor 7,V007,Overnight,2025-08-02,2025-08-07,3326.56,166.33,85.59,3578.48,Maintenance,MT040
PO11813,Complete,Erica Nelson,Vendor 3,V003,Air,2025-07-21,2025-07-27,3092.91,154.65,49.97,3297.53,Maintenance,MT002
PO11513,Complete,Robert Brown,Vendor 49,V049,Overnight,2025-05-20,2025-05-24,2180.85,109.04,37.27,2327.16,Miscellaneous,MS046
PO10597,Complete,Dorothy Hines,Vendor 32,V032,Overnight,2025-09-29,2025-10-06,2775.15,138.76,18.63,2932.54,Miscellaneous,MS030
PO11197,Complete,Robert Brown,Vendor 50,V050,Overnight,2025-04-24,2025-04-27,3751.4,187.57,83.43,4022.4,Furniture,FC004
PO11527,Complete,Kelly Moore,Vendor 48,V048,Air,2025-12-01,2025-12-07,1636.27,81.81,56.83,1774.91,Maintenance,MT019
PO10465,Rejected,Rachel Moore,Vendor 11,V011,Air,2025-05-22,2025-05-23,1410.22,70.51,65.19,1545.92,Office Supplies,OS048
PO11677,Complete,Laura Morgan,Vendor 44,V044,Express,2025-06-15,2025-06-16,4510.41,225.52,46.79,4782.72,Electronics,EL007
PO11803,Complete,Jacob Patterson,Vendor 4,V004,Ground,2025-01-08,2025-01-13,1603.47,80.17,57.4,1741.04,Furniture,FC008
PO11053,Complete,Angie Boyd,Vendor 48,V048,Air,2025-01-26,2025-01-27,1515.42,75.77,17.07,1608.26,Office Supplies,OS025
PO11975,Complete,Brandi Smith,Vendor 18,V018,Overnight,2025-03-13,2025-03-15,724.59,36.23,28.37,789.19,Office Supplies,OS030
PO10486,Complete,Natalie Richardson,Vendor 18,V018,Overnight,2025-06-03,2025-06-08,4223.4,211.17,76.04,4510.61,Electronics,EL048
PO10916,Complete,Tommy Duarte,Vendor 8,V008,Ground,2025-07-05,2025-07-10,3033.6,151.68,42.53,3227.81,Maintenance,MT044
PO10348,Complete,Rachel Moore,Vendor 28,V028,Express,2025-05-18,2025-05-20,4015.72,200.79,6.94,4223.45,Furniture,FC050
PO10679,Complete,Brandi Smith,Vendor 26,V026,Overnight,2025-11-14,2025-11-19,4672.59,233.63,5.52,4911.74,Maintenance,MT005
PO10830,Complete,Erica Nelson,Vendor 16,V016,Express,2025-02-12,2025-02-15,2452.55,122.63,25.86,2601.04,Furniture,FC003
PO10923,Complete,Erica Nelson,Vendor 25,V025,Air,2025-05-19,2025-05-23,706.21,35.31,14.19,755.71,Maintenance,MT016
PO11113,Complete,Robert Brown,Vendor 34,V034,Ground,2025-03-26,2025-03-30,3177.21,158.86,6.63,3342.7,Office Supplies,OS012
PO10619,Complete,Tommy Duarte,Vendor 44,V044,Express,2025-12-20,2025-12-26,3058.09,152.9,8.33,3219.32,Miscellaneous,MS047
PO10772,Complete,Kevin Meyer,Vendor 9,V009,Air,2025-09-11,2025-09-12,1865.58,93.28,8.26,1967.12,Maintenance,MT008
PO11287,Complete,Michael Brown,Vendor 27,V027,Air,2025-05-04,2025-05-10,1059.74,52.99,22.92,1135.65,Furniture,FC019
PO11545,Complete,Kelly Andrews,Vendor 9,V009,Ground,2025-10-04,2025-10-06,2422.33,121.12,47.91,2591.36,Furniture,FC042
PO10594,Complete,Kelly Moore,Vendor 16,V016,Express,2025-07-26,2025-07-31,2254.58,112.73,60.41,2427.72,Office Supplies,OS012
PO10116,Complete,Robert Brown,Vendor 6,V006,Overnight,2025-09-13,2025-09-20,1032.97,51.65,86.9,1171.52,Office Supplies,OS040
PO10768,Complete,Kelly Moore,Vendor 22,V022,Ground,2025-01-22,2025-01-26,4844.84,242.24,94.01,5181.09,Furniture,FC006
PO11858,Complete,Kevin Meyer,Vendor 43,V043,Express,2026-01-03,2025-12-31,2326.0,116.3,16.23,2458.53,Furniture,FC019
PO10901,Complete,Angie Boyd,Vendor 6,V006,Ground,2025-02-28,2025-03-03,138.75,6.94,44.56,190.25,Miscellaneous,MS039
PO11947,Rejected,Robert Moss,Vendor 9,V009,Air,2025-01-06,2025-01-08,2371.02,118.55,97.22,2586.79,Maintenance,MT004
PO11441,Rejected,Douglas Garcia,Vendor 48,V048,Air,2025-12-10,2025-12-14,1453.53,72.68,91.02,1617.23,Furniture,FC031
PO11791,Complete,Erica Nelson,Vendor 47,V047,Express,2025-07-22,2025-07-26,1708.58,85.43,76.25,1870.26,Office Supplies,OS012
PO10889,Complete,Brooke Jackson,Vendor 16,V016,Ground,2025-12-07,2025-12-08,484.3,24.22,60.25,568.77,Furniture,FC041
PO10212,Complete,Douglas Garcia,Vendor 32,V032,Air,2025-09-06,2025-09-13,695.49,34.77,21.86,752.12,Miscellaneous,MS045
PO10451,Complete,Laura Morgan,Vendor 33,V033,Air,2025-10-30,2025-11-05,4113.38,205.67,42.02,4361.07,Electronics,EL003
PO11177,Complete,Douglas Garcia,Vendor 39,V039,Air,2025-05-17,2025-05-19,3716.38,185.82,58.04,3960.24,Maintenance,MT040
PO10706,Complete,Douglas Garcia,Vendor 16,V016,Air,2025-01-15,2025-01-19,2838.76,141.94,89.49,3070.19,Office Supplies,OS038
PO11286,Complete,Michael Brown,Vendor 39,V039,Ground,2025-10-14,2025-10-17,3384.56,169.23,31.07,3584.86,Office Supplies,OS049
PO11095,Complete,Douglas Garcia,Vendor 17,V017,Ground,2025-02-17,2025-02-24,4548.44,227.42,67.82,4843.68,Furniture,FC022
PO10211,Complete,Laura Morgan,Vendor 7,V007,Express,2025-02-09,2025-02-11,4034.16,201.71,43.63,4279.5,Miscellaneous,MS036
PO10121,Complete,Kimberly Richardson,Vendor 29,V029,Overnight,2025-06-15,2025-06-22,2154.06,107.7,61.97,2323.73,Miscellaneous,MS044
PO11376,Rejected,Laura Morgan,Vendor 22,V022,Express,2025-06-20,2025-06-24,963.06,48.15,26.18,1037.39,Furniture,FC033
PO11641,Rejected,Brooke Jackson,Vendor 36,V036,Air,2025-09-19,2025-09-22,4109.26,205.46,40.51,4355.23,Miscellaneous,MS022
PO11714,Complete,Robert Brown,Vendor 2,V002,Express,2025-09-03,2025-09-06,633.7,31.69,60.73,726.12,Miscellaneous,MS023
PO10298,Complete,Douglas Garcia,Vendor 46,V046,Express,2025-11-09,2025-11-11,1461.52,73.08,6.06,1540.66,Miscellaneous,MS027
PO10788,Complete,Dorothy Hines,Vendor 14,V014,Ground,2025-12-13,2025-12-16,2778.61,138.93,71.49,2989.03,Office Supplies,OS048
PO10136,Complete,Robert Moss,Vendor 50,V050,Ground,2025-07-03,2025-07-08,2849.53,142.48,55.8,3047.81,Maintenance,MT047
PO10484,Complete,Rachel Moore,Vendor 12,V012,Overnight,2025-10-01,2025-10-06,305.22,15.26,80.48,400.96,Electronics,EL046
PO11934,Complete,Kevin Meyer,Vendor 36,V036,Express,2025-10-09,2025-10-16,662.15,33.11,92.06,787.32,Office Supplies,OS020
PO10299,Complete,Dorothy Hines,Vendor 35,V035,Overnight,2025-09-11,2025-09-18,3894.6,194.73,8.52,4097.85,Miscellaneous,MS042
PO10395,Complete,Natalie Richardson,Vendor 41,V041,Overnight,2025-11-05,2025-11-08,2613.64,130.68,43.92,2788.24,Maintenance,MT027
PO11165,Complete,Angie Boyd,Vendor 15,V015,Air,2025-03-14,2025-03-19,585.36,29.27,96.52,711.15,Electronics,EL006
PO11345,Rejected,Randy Hernandez,Vendor 42,V042,Express,2025-12-02,2025-12-08,4738.75,236.94,72.01,5047.7,Maintenance,MT011
PO10803,Complete,Kelly Moore,Vendor 8,V008,Overnight,2025-06-24,2025-06-29,3018.92,150.95,80.58,3250.45,Office Supplies,OS032
PO10985,Complete,Erica Nelson,Vendor 2,V002,Express,2025-12-30,2026-01-03,1133.55,56.68,26.18,1216.41,Electronics,EL010
PO10110,Complete,Erica Nelson,Vendor 13,V013,Overnight,2025-05-14,2025-05-17,4404.92,220.25,67.72,4692.89,Office Supplies,OS044
PO10991,Complete,Kimberly Richardson,Vendor 16,V016,Air,2025-11-15,2025-11-22,854.73,42.74,28.73,926.2,Furniture,FC025
